Facility ID,Facility Name,Facility Type,District,Description,Has Clinic,Status,Created At,Updated At
cme99em9h000xjncdyud4eygb,"Aibawk PHC","PHC","Aizawl West","",No,Active,"13/08/2025","28/08/2025"
cmeh1ha7z02h3jnan2gk01rly,"Ailawng","SC_HWC","Mamit","",No,Active,"18/08/2025","18/08/2025"
cme99emur00m1jncdsi5hvn1o,"Ailawng SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emm400etjncd3u0xy9v0,"Ajasora SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emz300qtjncdqg9fztpn,"Armed Veng AYUSH SC","A_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emcw0045jncdk1mtnfch,"Armveng SC","A_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emam001vjncdv22whymi,"Bairabi PHC","PHC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emkl00d7jncd57vgkb94,"Bairabi SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99en0g00sbjncd3tcrved5,"Baktawng AYUSH SC","A_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emeu0069jncdjx7foqy4,"Baktawng SC","A_HWC","Aizawl East","",No,Active,"13/08/2025","19/08/2025"
cme99emf1006ljncdh9b7znzi,"Bawngkawn SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emcx0047jncdvc013ahc,"Bazar Aizawl SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emog00gfjncdz2q136qw,"Bazar Lunglei SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emss00k3jncdjohat0tg,"Belthei SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emh8009fjncdqyh415rt,"Bethel SC","SC_HWC","Champhai","",No,Active,"13/08/2025","21/08/2025"
cme99emcy0049jncditu2vook,"Bethlehem Vengthlang SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emhu00a9jncd06ctqf8i,"Biate SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emao001xjncd93e9kueo,"Bilkhawthlir PHC","PHC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emkn00d9jncdxiei6g00,"Bilkhawthlir SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emuj00lrjncdbuiuzilc,"Borai SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emav0025jncd1qelv388,"Borapansury PHC","PHC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emlw00eljncdndtlj0w0,"Borapansury SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emok00ghjncd8qvd5qht,"Bualpui H SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emay0027jncdffyd9yw8,"Bualpui NG PHC","PHC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emlz00epjncdje0ieqr7,"Bualpui Ng SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emky00dljncde9bv767a,"Bualpui SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emom00gjjncdntuxno0h,"Bualpui V SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emxg00ozjncdwbmzl454,"Buangpui SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emb6002hjncdj0dd32wh,"Buarpui PHC","PHC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emod00gdjncddgq1660y,"Buarpui SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emdn0051jncdce3qy2dn,"Buhban SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emk800ctjncdc7h3e9m0,"Buhchangphai SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emap001zjncdfg72c965,"Bukpui PHC","PHC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emkt00dhjncdwxf80xfd,"Bukpui SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emh9009hjncdrlxgyszg,"Bulfekzawl SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emb7002jjncd3ufdpuw6,"Bunghmun S PHC","PHC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emot00gljncdum5zj8xd,"Bunghmun S SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emz000qpjncdarqovqvo,"Bungkawn AYUSH SC","A_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emgk008hjncdjzs5ha42,"Bungkawn SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emul00ltjncdek5vah6h,"Bungthuam SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emb00029jncd5wfxd437,"Bungtlang S PHC","PHC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emm600evjncd34g9nzat,"Bungtlang S SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emw800npjncd026wsvos,"Bungtlang SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99em9p0015jncdk6l0n0zh,"Bungzung PHC","PHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emhy00adjncd86ix3c3i,"Bungzung SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emh10097jncdlp3rtbnv,"Central Jail Veng SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emow00gnjncdyfcz0y6c,"Central SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emc1003bjncd2k7j2nvv,"Chakhang PHC","PHC","Saiha","",No,Active,"13/08/2025","13/08/2025"
cme99emvf00mtjncd6pt0np8n,"Chakhang SC","SC_HWC","Saiha","",No,Active,"13/08/2025","13/08/2025"
cme99emf3006njncdyfaz94zt,"Chaltlang SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emm800exjncdp1o12998,"Chamdur Pilot Proj SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99em8x000djncdvt20bpen,"Champhai","UPHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emyr00qfjncd4knrbx64,"Champhai AYUSH SC","A_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emhb009jjncdagtpczai,"Champhai SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emhc009ljncdwsj700pc,"Champhai Vengthlang SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emy300ppjncdwe2ajjl5,"Champhai Zotlang UHWC","U_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emoz00gpjncd327cxmg8,"Changpui SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emf4006pjncdvjxledco,"Chanmari SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emff0077jncdqfccnf6y,"Chanmari West","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emzg00r7jncdzdl2ypg4,"Chapui AYUSH SC","A_HWC","Saiha","",No,Active,"13/08/2025","13/08/2025"
cme99emvr00nbjncdch3c3dii,"Chapui SC","SC_HWC","Saiha","",No,Active,"13/08/2025","13/08/2025"
cme99emp100grjncdwegi0dca,"Chawilung SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99em8w000bjncd0xfvwarr,"Chawlhhmun","UPHC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99en0900s1jncdgoh2favx,"Chawngte C AYUSH SC","A_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emn100fjjncdrw2b5zcw,"Chawngte C SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emn400fljncddgliqmwd,"Chawngte P SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emj900btjncduh6yflvp,"Chawngtlai SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emfo007jjncdi14vvr74,"Chawnpui SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emb9002ljncdmtl7mwfr,"Cherhlun PHC","PHC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emp400gtjncd0ifbhxk2,"Cherhlun SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emnv00g3jncd9vromnlx,"Cheural SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emii00azjncdg4v2ds9f,"Chhawrtui SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emw900nrjncdrwjjfjgd,"Chhiahtlang SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emd0004bjncdjni0co4j,"Chhinga veng SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emc8003jjncdmquk6ktz,"Chhingchhip PHC","PHC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emwh00o1jncdn2uspcaf,"Chhingchhip SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emba002njncdaw7xwymj,"Chhipphir PHC","PHC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emp600gvjncd1ooseihy,"Chhipphir SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emc3003djncdkcsq9o79,"Chhuarlung PHC","PHC","Saiha","",No,Active,"13/08/2025","13/08/2025"
cme99emvh00mxjncd1iiduded,"Chhuarlung SC","SC_HWC","Saiha","",No,Active,"13/08/2025","13/08/2025"
cme99emxn00p9jncdpvswkedp,"Chite UHWC","U_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emtj00krjncd3nfnq8k2,"Chuhvel SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emlg00e7jncdjca2p8ge,"College Veng SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emyb00pxjncdxcy3e8z3,"Council Veng UHWC","U_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emde004rjncdrbil23gt,"Daido SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emyt00qhjncdb5s77shk,"Damdep AYUSH SC","A_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emma00ezjncdig8m5qaw,"Damdep SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emsu00k5jncdbjoj7e2k,"Damdiai SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emub00ljjncd1mz5yxbf,"Damparengpui SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emsw00k7jncd9l6hj6jr,"Dampui SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emsy00k9jncdldl49kru,"Darlak SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99em93000jjncds8u1t4bm,"Darlawn PHC","PHC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emco003xjncddljudcdd,"Darlawn SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emut00m3jncdmdrtd809,"Darlung W SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
