User ID,Username,Email,Role,Facility,Status,Last Login,Created At
1,"admin","admin@plp-portal.com","admin","",Active,,"N/A"
2,"aibawkphc","aibawkphc@aizawlwest.com","facility","",Active,,"N/A"
3,"ailawngsc","ailawngsc@mamit.com","facility","",Active,,"N/A"
4,"ajasorasc","ajasorasc@lawngtlai.com","facility","",Active,,"N/A"
5,"armedvengayushsc","armedvengayushsc@aizawleast.com","facility","",Active,,"N/A"
6,"armvengsc","armvengsc@aizawleast.com","facility","",Active,,"N/A"
7,"bairabiphc","bairabiphc@kolasib.com","facility","",Active,,"N/A"
8,"bairabisc","bairabisc@kolasib.com","facility","",Active,,"N/A"
9,"baktawngayushsc","baktawngayushsc@aizawleast.com","facility","",Active,,"N/A"
10,"baktawngsc","baktawngsc@aizawleast.com","facility","",Active,,"N/A"
11,"bawngkawnsc","bawngkawnsc@aizawleast.com","facility","",Active,,"N/A"
12,"bazaraizawlsc","bazaraizawlsc@aizawleast.com","facility","",Active,,"N/A"
13,"bazarlungleisc","bazarlungleisc@lunglei.com","facility","",Active,,"N/A"
15,"bethelsc","bethelsc@champhai.com","facility","",Active,,"N/A"
16,"bethlehemvengthlangsc","bethlehemvengthlangsc@aizawleast.com","facility","",Active,,"N/A"
17,"biatesc","biatesc@champhai.com","facility","",Active,,"N/A"
18,"bilkhawthlirphc","bilkhawthlirphc@kolasib.com","facility","",Active,,"N/A"
19,"bilkhawthlirsc","bilkhawthlirsc@kolasib.com","facility","",Active,,"N/A"
20,"boraisc","boraisc@mamit.com","facility","",Active,,"N/A"
21,"borapansuryphc","borapansuryphc@lawngtlai.com","facility","",Active,,"N/A"
22,"borapansurysc","borapansurysc@lawngtlai.com","facility","",Active,,"N/A"
23,"bualpuihsc","bualpuihsc@lunglei.com","facility","",Active,,"N/A"
24,"bualpuingphc","bualpuingphc@lawngtlai.com","facility","",Active,,"N/A"
25,"bualpuingsc","bualpuingsc@lawngtlai.com","facility","",Active,,"N/A"
26,"bualpuisc","bualpuisc@kolasib.com","facility","",Active,,"N/A"
27,"bualpuivsc","bualpuivsc@lunglei.com","facility","",Active,,"N/A"
28,"buangpuisc","buangpuisc@serchhip.com","facility","",Active,,"N/A"
29,"buarpuiphc","buarpuiphc@lunglei.com","facility","",Active,,"N/A"
30,"buarpuisc","buarpuisc@lunglei.com","facility","",Active,,"N/A"
31,"buhbansc","buhbansc@aizawleast.com","facility","",Active,,"N/A"
32,"buhchangphaisc","buhchangphaisc@kolasib.com","facility","",Active,,"N/A"
33,"bukpuiphc","bukpuiphc@kolasib.com","facility","",Active,,"N/A"
34,"bukpuisc","bukpuisc@kolasib.com","facility","",Active,,"N/A"
35,"bulfekzawlsc","bulfekzawlsc@champhai.com","facility","",Active,,"N/A"
36,"bunghmunsphc","bunghmunsphc@lunglei.com","facility","",Active,,"N/A"
37,"bunghmunssc","bunghmunssc@lunglei.com","facility","",Active,,"N/A"
38,"bungkawnayushsc","bungkawnayushsc@aizawleast.com","facility","",Active,,"N/A"
39,"bungkawnsc","bungkawnsc@aizawlwest.com","facility","",Active,,"N/A"
40,"bungthuamsc","bungthuamsc@mamit.com","facility","",Active,,"N/A"
41,"bungtlangsphc","bungtlangsphc@lawngtlai.com","facility","",Active,,"N/A"
42,"bungtlangssc","bungtlangssc@lawngtlai.com","facility","",Active,,"N/A"
43,"bungtlangsc","bungtlangsc@serchhip.com","facility","",Active,,"N/A"
44,"bungzungphc","bungzungphc@champhai.com","facility","",Active,,"N/A"
45,"bungzungsc","bungzungsc@champhai.com","facility","",Active,,"N/A"
46,"centraljailvengsc","centraljailvengsc@aizawlwest.com","facility","",Active,,"N/A"
47,"centralsc","centralsc@lunglei.com","facility","",Active,,"N/A"
48,"chakhangphc","chakhangphc@saiha.com","facility","",Active,,"N/A"
49,"chakhangsc","chakhangsc@saiha.com","facility","",Active,,"N/A"
50,"chaltlangsc","chaltlangsc@aizawleast.com","facility","",Active,,"N/A"
51,"chamdurpilotprojsc","chamdurpilotprojsc@lawngtlai.com","facility","",Active,,"N/A"
52,"champhai","champhai@champhai.com","facility","",Active,,"N/A"
53,"champhaiayushsc","champhaiayushsc@champhai.com","facility","",Active,,"N/A"
54,"champhaisc","champhaisc@champhai.com","facility","",Active,,"N/A"
55,"champhaivengthlangsc","champhaivengthlangsc@champhai.com","facility","",Active,,"N/A"
56,"champhaizotlanguhwc","champhaizotlanguhwc@champhai.com","facility","",Active,,"N/A"
57,"changpuisc","changpuisc@lunglei.com","facility","",Active,,"N/A"
58,"chanmarisc","chanmarisc@aizawleast.com","facility","",Active,,"N/A"
59,"chanmariwest","chanmariwest@aizawleast.com","facility","",Active,,"N/A"
60,"chapuiayushsc","chapuiayushsc@saiha.com","facility","",Active,,"N/A"
61,"chapuisc","chapuisc@saiha.com","facility","",Active,,"N/A"
62,"chawilungsc","chawilungsc@lunglei.com","facility","",Active,,"N/A"
64,"chawngtecayushsc","chawngtecayushsc@lawngtlai.com","facility","",Active,,"N/A"
65,"chawngtecsc","chawngtecsc@lawngtlai.com","facility","",Active,,"N/A"
66,"chawngtepsc","chawngtepsc@lawngtlai.com","facility","",Active,,"N/A"
67,"chawngtlaisc","chawngtlaisc@champhai.com","facility","",Active,,"N/A"
68,"chawnpuisc","chawnpuisc@aizawlwest.com","facility","",Active,,"N/A"
69,"cherhlunphc","cherhlunphc@lunglei.com","facility","",Active,,"N/A"
70,"cherhlunsc","cherhlunsc@lunglei.com","facility","",Active,,"N/A"
71,"cheuralsc","cheuralsc@lawngtlai.com","facility","",Active,,"N/A"
72,"chhawrtuisc","chhawrtuisc@champhai.com","facility","",Active,,"N/A"
73,"chhiahtlangsc","chhiahtlangsc@serchhip.com","facility","",Active,,"N/A"
74,"chhingavengsc","chhingavengsc@aizawleast.com","facility","",Active,,"N/A"
75,"chhingchhipphc","chhingchhipphc@serchhip.com","facility","",Active,,"N/A"
76,"chhingchhipsc","chhingchhipsc@serchhip.com","facility","",Active,,"N/A"
77,"chhipphirphc","chhipphirphc@lunglei.com","facility","",Active,,"N/A"
78,"chhipphirsc","chhipphirsc@lunglei.com","facility","",Active,,"N/A"
79,"chhuarlungphc","chhuarlungphc@saiha.com","facility","",Active,,"N/A"
80,"chhuarlungsc","chhuarlungsc@saiha.com","facility","",Active,,"N/A"
81,"chiteuhwc","chiteuhwc@aizawleast.com","facility","",Active,,"N/A"
82,"chuhvelsc","chuhvelsc@mamit.com","facility","",Active,,"N/A"
83,"collegevengsc","collegevengsc@lawngtlai.com","facility","",Active,,"N/A"
84,"councilvenguhwc","councilvenguhwc@lawngtlai.com","facility","",Active,,"N/A"
85,"daidosc","daidosc@aizawleast.com","facility","",Active,,"N/A"
86,"damdepayushsc","damdepayushsc@lawngtlai.com","facility","",Active,,"N/A"
87,"damdepsc","damdepsc@lawngtlai.com","facility","",Active,,"N/A"
88,"damdiaisc","damdiaisc@mamit.com","facility","",Active,,"N/A"
89,"damparengpuisc","damparengpuisc@mamit.com","facility","",Active,,"N/A"
90,"dampuisc","dampuisc@mamit.com","facility","",Active,,"N/A"
91,"darlaksc","darlaksc@mamit.com","facility","",Active,,"N/A"
92,"darlawnphc","darlawnphc@serchhip.com","facility","",Active,,"N/A"
93,"darlawnsc","darlawnsc@aizawleast.com","facility","",Active,,"N/A"
94,"darlungwsc","darlungwsc@mamit.com","facility","",Active,,"N/A"
95,"darngawnwsc","darngawnwsc@lunglei.com","facility","",Active,,"N/A"
96,"darzoayushsc","darzoayushsc@hnahthial.com","facility","",Active,,"N/A"
97,"darzosc","darzosc@lunglei.com","facility","",Active,,"N/A"
98,"dawrpuivengtharsc","dawrpuivengtharsc@aizawlwest.com","facility","",Active,,"N/A"
99,"devasorasc","devasorasc@lawngtlai.com","facility","",Active,,"N/A"
100,"diakkawnsc","diakkawnsc@kolasib.com","facility","",Active,,"N/A"
101,"diblibaghsc","diblibaghsc@lunglei.com","facility","",Active,,"N/A"
102,"diltlangsc","diltlangsc@lawngtlai.com","facility","",Active,,"N/A"
103,"dintharsc","dintharsc@aizawlwest.com","facility","",Active,,"N/A"
104,"dultesc","dultesc@champhai.com","facility","",Active,,"N/A"
105,"dungtlangsc","dungtlangsc@champhai.com","facility","",Active,,"N/A"
106,"durtlangsc","durtlangsc@aizawleast.com","facility","",Active,,"N/A"
107,"edentharsc","edentharsc@aizawleast.com","facility","",Active,,"N/A"
108,"electricaizawlsc","electricaizawlsc@aizawleast.com","facility","",Active,,"N/A"
109,"electriclungleisc","electriclungleisc@lunglei.com","facility","",Active,,"N/A"
110,"farkawnphc","farkawnphc@champhai.com","facility","",Active,,"N/A"
111,"farkawnsc","farkawnsc@champhai.com","facility","",Active,,"N/A"
112,"farmvengsc","farmvengsc@lunglei.com","facility","",Active,,"N/A"
113,"haulawngphc","haulawngphc@lunglei.com","facility","",Active,,"N/A"
114,"haulawngsc","haulawngsc@lunglei.com","facility","",Active,,"N/A"
115,"hauruangsc","hauruangsc@lunglei.com","facility","",Active,,"N/A"
116,"hlimenuphc","hlimenuphc@aizawlwest.com","facility","",Active,,"N/A"
117,"hmarvenguhwc","hmarvenguhwc@mamit.com","facility","",Active,,"N/A"
118,"hmunhmelthasc","hmunhmelthasc@champhai.com","facility","",Active,,"N/A"
119,"hmunlaisc","hmunlaisc@lawngtlai.com","facility","",Active,,"N/A"
